# Ingestão diária de referência para adultos (19+), por sexo e idade: RDA ou AI.
# Fonte: Dietary Reference Intakes, Food and Nutrition Board / Institute of Medicine (National Academies),
# incluindo a atualização de 2019 para sódio e potássio. Sem UL, gestação ou lactação.
# A VALIDAR COM O NUTRICIONISTA antes de uso real.
# Niacina: a RDA é em mg de equivalentes de niacina (NE); a TACO informa niacina em mg (comparação aproximada).
# Unidade igual à do nutriente no catálogo (nutrients.unit); a aplicação falha ao iniciar se não bater.
nutrient_code,sex,age_min,age_max,amount,unit,type
FIBER,MALE,19,50,38,g,AI
FIBER,MALE,51,130,30,g,AI
FIBER,FEMALE,19,50,25,g,AI
FIBER,FEMALE,51,130,21,g,AI
CALCIUM,MALE,19,70,1000,mg,RDA
CALCIUM,MALE,71,130,1200,mg,RDA
CALCIUM,FEMALE,19,50,1000,mg,RDA
CALCIUM,FEMALE,51,130,1200,mg,RDA
COPPER,MALE,19,130,0.9,mg,RDA
COPPER,FEMALE,19,130,0.9,mg,RDA
IRON,MALE,19,130,8,mg,RDA
IRON,FEMALE,19,50,18,mg,RDA
IRON,FEMALE,51,130,8,mg,RDA
PHOSPHORUS,MALE,19,130,700,mg,RDA
PHOSPHORUS,FEMALE,19,130,700,mg,RDA
MAGNESIUM,MALE,19,30,400,mg,RDA
MAGNESIUM,MALE,31,130,420,mg,RDA
MAGNESIUM,FEMALE,19,30,310,mg,RDA
MAGNESIUM,FEMALE,31,130,320,mg,RDA
MANGANESE,MALE,19,130,2.3,mg,AI
MANGANESE,FEMALE,19,130,1.8,mg,AI
POTASSIUM,MALE,19,130,3400,mg,AI
POTASSIUM,FEMALE,19,130,2600,mg,AI
SODIUM,MALE,19,130,1500,mg,AI
SODIUM,FEMALE,19,130,1500,mg,AI
ZINC,MALE,19,130,11,mg,RDA
ZINC,FEMALE,19,130,8,mg,RDA
VITAMIN_A_RAE,MALE,19,130,900,mcg,RDA
VITAMIN_A_RAE,FEMALE,19,130,700,mcg,RDA
THIAMIN,MALE,19,130,1.2,mg,RDA
THIAMIN,FEMALE,19,130,1.1,mg,RDA
RIBOFLAVIN,MALE,19,130,1.3,mg,RDA
RIBOFLAVIN,FEMALE,19,130,1.1,mg,RDA
NIACIN,MALE,19,130,16,mg,RDA
NIACIN,FEMALE,19,130,14,mg,RDA
VITAMIN_B6,MALE,19,50,1.3,mg,RDA
VITAMIN_B6,MALE,51,130,1.7,mg,RDA
VITAMIN_B6,FEMALE,19,50,1.3,mg,RDA
VITAMIN_B6,FEMALE,51,130,1.5,mg,RDA
VITAMIN_C,MALE,19,130,90,mg,RDA
VITAMIN_C,FEMALE,19,130,75,mg,RDA
